AC9MAS10A0|A0|By the end of Year 10,
AC9MAS10A1|A1|students recognise the effect of approximations of real numbers in repeated calculations.
AC9MAS10A2|A2|They use mathematical modelling to solve problems involving growth and decay in financial and other applied situations, applying linear, quadratic and exponential functions as appropriate, and solve related equations, numerically and graphically.
AC9MAS10A3|A3|Students make and test conjectures involving functions and relations using digital tools.
AC9MAS10A4|A4|They solve problems involving simultaneous linear equations and linear inequalities in 2 variables graphically and justify solutions.
AC9MAS10B1|B1|Students interpret and use logarithmic scales representing small or large quantities or change in applied contexts.
AC9MAS10B2|B2|They solve measurement problems involving surface area and volume of composite objects.
AC9MAS10B3|B3|Students apply Pythagoras’ theorem and trigonometry to solve practical problems involving right-angled triangles.
AC9MAS10B4|B4|They identify the impact of measurement errors on the accuracy of results.
AC9MAS10B5|B5|Students use mathematical modelling to solve practical problems involving proportion and scaling, evaluating and modifying models, and reporting assumptions, methods and findings.
AC9MAS10B6|B6|They use deductive reasoning, theorems and algorithms to solve spatial problems.
AC9MAS10B7|B7|Students interpret networks used to represent practical situations and describe connectedness
AC9MAS10C1|C1|They plan and conduct statistical investigations involving bivariate data.
AC9MAS10C2|C2|Students represent the distribution of data involving 2 variables, using tables and scatter plots, and comment on possible association.
AC9MAS10C3|C3|They analyse inferences and conclusions in the media, noting potential sources of bias.
AC9MAS10C4|C4|Students compare the distribution of continuous numerical data using various displays, and discuss distributions in terms of centre, spread, shape and outliers.
AC9MAS10C5|C5|They apply conditional probability to solve problems involving compound events.
AC9MAS10C6|C6|Students design and conduct simulations involving conditional probability, using digital tools.
